SMOTE_1st_tuning_not_pca_dl_report,,,,,
SMOTE_2nd_tuning_pca3_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.986749805,0.333333333,0.947947214,0.660041569,0.965671854
recall,0.959090909,0.613636364,0.947947214,0.786363636,0.947947214
f1-score,0.97272378,0.432,0.947947214,0.70236189,0.955281078
support,1320,44,0.947947214,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_not_pca_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.996347032,0.148698885,0.829178886,0.572522958,0.969003543
recall,0.826515152,0.909090909,0.829178886,0.86780303,0.829178886
f1-score,0.903519669,0.255591054,0.829178886,0.579555362,0.882618746
support,1320,44,0.829178886,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_not_pca_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.995644599,0.180555556,0.866568915,0.588100077,0.969351404
recall,0.865909091,0.886363636,0.866568915,0.876136364,0.866568915
f1-score,0.926256078,0.3,0.866568915,0.613128039,0.906054269
support,1320,44,0.866568915,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_pca1_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.998107852,0.136807818,0.804252199,0.567457835,0.97032398
recall,0.799242424,0.954545455,0.804252199,0.876893939,0.804252199
f1-score,0.887673538,0.239316239,0.804252199,0.563494889,0.866758787
support,1320,44,0.804252199,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_pca1_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.995693368,0.192118227,0.876099707,0.593905797,0.969771589
recall,0.875757576,0.886363636,0.876099707,0.881060606,0.876099707
f1-score,0.931882306,0.315789474,0.876099707,0.62383589,0.912008343
support,1320,44,0.876099707,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_pca2_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.998129093,0.142372881,0.813049853,0.570250987,0.970524054
recall,0.808333333,0.954545455,0.813049853,0.881439394,0.813049853
f1-score,0.893260779,0.247787611,0.813049853,0.570524195,0.872439063
support,1320,44,0.813049853,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_pca2_ml_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.993766696,0.153526971,0.845307918,0.573646834,0.966662189
recall,0.845454545,0.840909091,0.845307918,0.843181818,0.845307918
f1-score,0.913630782,0.259649123,0.845307918,0.586639952,0.892534599
support,1320,44,0.845307918,1364,1364
,,,,,
,,,,,
,,,,,
udersampling_1st_tuning_pca3_dl_report,,,,,
,0,1,accuracy,macro avg,weighted avg
precision,0.9971537,0.132258065,0.80058651,0.564705882,0.969253841
